#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;CHINESE
economy_building;Economy Building;Bâtiment Économique;Wirtschaftsgebäude;Budowla Ekonomiczna;Edificio Económico;Edificio Economico;Ekonomibyggnad;Ekonomická Budova;Gazdasági Épület;Economisch Gebouw;Edifício Econômico;Экономическое Здание;Talouden Rakennus;经济建筑
special_building;Special Building;Bâtiment Spécial;Spezialgebäude;Budowla Specjalna;Edificio Especial;Edificio Speciale;Specialbyggnad;Speciální Budova;Különleges Épület;Speciaal Gebouw;Edifício Especial;Специальное Здание;Erityisrakennus;特殊建筑
development_building;Development Building;Bâtiment de Développement;Entwicklungsgebäude;Budowla Rozwojowa;Edificio de Desarrollo;Edificio di Sviluppo;Utvecklingsbyggnad;Rozvojová Budova;Fejlesztési Épület;Ontwikkelingsgebouw;Edifício de Desenvolvimento;Здание Развития;Kehitysrakennus;发展建筑
refinery;Refinery;Raffinerie;Rafinerie;Rafineria;Refinería;Raffineria;Raffinaderi;Rafinérie;Finomító;Raffinaderij;Refinaria;Нефтеперерабатывающий Завод;Tislauslaitos;炼油厂
coal_powerplant;Coal Powerplant;Centrale à Charbon;Kohlekraftwerk;Elektrownia Węglowa;Central Eléctrica de Carbón;Centrale a Carbone;Kolkraftverk;Uhelná Elektrárna;Szén Erőmű;Kolenenergiecentrale;Usina Termelétrica a Carvão;Угольная Электростанция;Hiilivoimala;燃煤电厂
renewable_powerplant;Renewable Powerplant;Centrale d'Énergie Renouvelable;Erneuerbares Kraftwerk;Elektrownia Odnawialna;Planta de Energía Renovable;Centrale a Energia Rinnovabile;Förnybart Kraftverk;Elektrárna na Obnovitelné Zdroje;Megújuló Erőmű;Hernieuwbare Energiecentrale;Usina de Energia Renovável;Возобновляемая Электростанция;Uusiutuva Voimalaitos;可再生能源电厂
nuclear_powerplant;Nuclear Powerplant;Centrale Nucléaire;Kernkraftwerk;Elektrownia Jądrowa;Central Nuclear;Centrale Nucleare;Kärnkraftverk;Jaderná Elektrárna;Atomerőmű;Kerncentrale;Usina Nuclear;Атомная Электростанция;Ydinvoimala;核电站
cement_factory;Cement Factory;Cimenterie;Zementfabrik;Cementownia;Fábrica de Cemento;Cementificio;Cementfabrik;Cementárna;Cementgyár;Cementfabriek;Fábrica de Cimento;Цементный Завод;Sementtitehdas;水泥厂
steel_factory;Steel Factory;Aciérie;Stahlwerk;Huta Stali;Fábrica de Acero;Acciaieria;Stålverk;Ocelárna;Acélgyár;Staalfabriek;Siderúrgica;Сталелитейный Завод;Terästehdas;钢铁厂
aluminium_factory;Aluminium Factory;Usine d'Aluminium;Aluminiumwerk;Huta Aluminium;Fábrica de Aluminio;Fabbrica di Alluminio;Aluminiumverk;Hliníkárna;Alumíniumgyár;Aluminiumfabriek;Fábrica de Alumínio;Алюминиевый Завод;Alumiinitehdas;铝厂
glass_factory;Glass Factory;Verrerie;Glasfabrik;Huta Szkła;Fábrica de Vidrio;Vetreria;Glasbruk;Sklárna;Üveggyár;Glasfabriek;Fábrica de Vidro;Стекольный Завод;Lasitehdas;玻璃厂
