#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH
SETTINGS;Settings;Paramètres;Einstellungen;Ustawienia;Configuración;Impostazioni;Inställningar;Nastavení;Beállítások;Instellingen;Configurações;Настройки;Asetukset
GAME;Game;Jeu;Spiel;Gra;Juego;Partita;Spel;Hra;Játék;Spel;Jogo;Игра;Peli
VIDEO;Video;Vidéo;Grafik;Grafika;Vídeo;Video;Video;Grafika;Videó;Video;Vídeo;Видео;Video
AUDIO;Audio;Audio;Sound;Dźwięk;Sonido;Audio;Ljud;Zvuk;Hang;Audio;Áudio;Аудио;Ääni
CONTROLS;Controls;Contrôles;Steuerung;Sterowanie;Controles;Comandi;Kontroller;Ovládání;Irányítás;Besturing;Controles;Управление;Ohjaimet
MASTER_VOLUME;Master Volume;Volume principal;Hauptlautstärke;Głośność ogólna;Volumen principal;Volume generale;Huvudvolym;Hlavní hlasitost;Fő hangerő;Hoofdvolume;Volume principal;Главная громкость;Päääänenvoimakkuus
EFFECT_VOLUME;Effect Volume;Volume des effets sonores;Soundeffektlautstärke;Głośność efektów;Volumen de los efectos;Volume effetti;Ljudeffektsvolym;Hlasitost zvukových efektů;Hangeffektek;Effectvolume;Volume dos efeitos;Громкость эффектов;Tehosteiden äänenvoimakkuus
MUSIC_VOLUME;Music Volume;Volume de la musique;Musiklautstärke;Głośność muzyki;Volumen de la música;Volume musica;Musikvolym;Hlasitost hudby;Zene hangerő;Muziekvolume;Volume da música;Громкость музыки;Musiikin äänenvoimakkuus
SCROLL_SPEED;Scroll Speed;Vitesse de défilement;Scrollgeschwindigkeit;Prędkość przewijania;Velocidad de desplazamiento;Velocità scorrimento;Rullningshastighet;Rychlost posouvání;Görgetési sebesség;Scrollsnelheid;Velocidade de rolagem;Скорость прокрутки;Vierityksen nopeus
ZOOM_SPEED;Zoom Speed;Vitesse du zoom;Zoomgeschwindigkeit;Prędkość skalowania;Velocidad de zoom;Velocità zoom;Zoomhastighet;Rychlost přiblížení;Nagyítás sebessége;Zoomsnelheid;Velocidade do zoom;Скорость зума;Zoomauksen nopeus
MOUSE_SPEED;Mouse Speed;Vitesse de la souris;Mausgeschwindigkeit;Prędkość myszy;Velocidad del ratón;Velocità mouse;Muspehastighet;Rychlost myši;Egér sebessége;Muissnelheid;Velocidade do mouse;Скорость мыши;Hiiren nopeus
REFRESH_RATE;Refresh Rate;Taux de rafraîchissement;Bildwiederholrate;Częstotliwość odświeżania;Tasa de actualización;Frequenza di aggiornamento;Uppdateringsfrekvens;Obnovovací frekvence;Frissítési gyakoriság;Verversingssnelheid;Taxa de atualização;Частота обновления;Päivitysnopeus
AUTOSAVE_INTERVAL;Autosave Interval;Sauvegarde auto;Intervall f. autom. Speichern;Przedział autozapisu;Guardado automático;Intervallo autosalvataggio;Autosparintervall;Interval automatického ukládání;Automatikus mentési időköz;Autosave-interval;Intervalo de salvamento automático;Интервал автосохранения;Automaattisen tallennuksen väli
APPLY;Apply;Appliquer;Anwenden;Zastosuj;Aplicar;Applicare;Tillämpa;Použít;Alkalmaz;Toepassen;Aplicar;Применить;Käytä
BACK;Back;Retour;Zurück;Powrót;Atrás;Indietro;Tillbaka;Zpět;Vissza;Terug;Voltar;Назад;Takaisin
ALERT;Alert;Alerte;Benachrichtigung;Powiadomienie;Alerta;Avvertimento;Larm;Upozornění;Riasztás;Waarschuwing;Alerta;Оповещение;Hälytys
RESTART;You need to restart for the change to take effect.;Vous devez redémarrer pour que la modification prenne effet.;Sie müssen den Rechner neu starten, damit die Änderung in Kraft tritt.;Aby zmiany zostały zapisane, musisz ponownie uruchomić grę.;Tendrás que reiniciar para que los cambios surtan efecto.;Per rendere attive le modifiche è necessario riavviare.;Du måste starta om för att ändringarna ska börja gälla.;Změny se projeví po restartu.;Az érvénybe lépéshez újra kell indítani.;Je moet herstarten voor de wijzigingen.;Reinicie para aplicar alterações.;Необходимо перезагрузить для применения изменений.;Sinun täytyy käynnistää uudelleen, jotta muutokset astuvat voimaan.
SAVE;Save;Sauvegarder;Speichern;Zapisz;Guardar;Salvare;Spara;Uložit;Mentés;Opslaan;Salvar;Сохранить;Tallenna
QUIT;Quit;Quitter;Beenden;Wyjdź;Salir;Uscire;Avsluta;Konec;Kilépés;Afsluiten;Sair;Выйти;Lopeta
START;Start;Commencer;Start;Rozpocznij;Inicio;Avviare;Starta;Spustit;Indítás;Begin;Começar;Начать;Aloita
CONTINUE;Continue;Continuer;Fortfahren;Kontynuuj;Continuar;Continuare;Fortsätt;Pokračovat;Folytatás;Doorgaan;Continuar;Продолжить;Jatka
QUIT_TITLE;Quit Game;Quitter le jeu;Spiel beenden;Wyjdź z gry;Abandonar el juego;Uscire dal gioco;Avsluta spelet;Ukončit hru;Kilépés a játékból;Afsluitspel;Sair do jogo;Выйти из игры;Poistu pelistä
QUIT_DESC;Are you sure you want to quit and return to desktop?;Êtes-vous sûr de vouloir quitter le jeu et retourner au bureau ?;Möchten Sie das Spiel wirklich beenden und zum Desktop zurückkehren?;Czy na pewno chcesz wyjść z gry do Windows?;¿Estás seguro de que deseas abandonar y volver al escritorio?;Uscire e tornare al desktop?;Är du säker på att du vill avsluta och gå tillbaka till skrivbordet?;Opravdu chcete ukončit hru a vrátit se na plochu?;Biztos vagy benne, hogy ki szeretnél lépni a játékból?;Weet je zeker dat je wilt afsluiten?;Tem certeza de que deseja voltar para o desktop?;Вы уверены, что хотите выйти на рабочий стол?;Haluatko varmasti poistua työpöydälle?
RESIGN_TITLE;Resign Game;Abandonner la partie;Spiel aufgeben;Zakończ grę;Renunciar a la partida;Abbandonare la partita;Ge upp spelet;Odstoupit ze hry;Játék feladása;Opgeven;Desistir do jogo;Сдаться;Luovuta
RESIGN_DESC;Are you sure you want to resign and return to the main menu?;Êtes-vous sûr de vouloir abandonner et retourner au menu principal ?;Möchten Sie aufgeben und zum Hauptmenü zurückkehren?;Czy naprawdę chcesz skończyć grę i wrócić do menu głównego?;¿Estás seguro de que deseas renunciar a esta partida y volver al menú principal?;Abbandonare la partita e tornare al menu principale?;Är du säker på att du vill ge upp och återvända till huvudmenyn?;Opravdu chcete ukončit hru a vrátit se do hlavního menu?;Biztos vagy benne, hogy feladod, és visszatérsz a főmenübe?;Weet je zeker dat je wilt opgeven?;Tem certeza de que deseja voltar ao menu principal?;Вы уверены, что хотите вернуться в главное меню?;Haluatko varmasti palata päävalikkoon?
SAVE_GAME;Save Game;Sauvegarder la partie;Spiel speichern;Zapisz grę;Guardar partida;Salva partita;Spara spelet;Uložit hru;Mentett játék;Spel opslaan;Salvar jogo;Сохранить игру;Tallenna peli
GAME_OPTIONS;Game Options;Options de jeu;Spieloptionen;Opcje gry;Opciones del juego;Opzioni di gioco;Spelinställningar;Herní nastavení;Beállítások;Spelopties;Opções de jogo;Настройки игры;Peliasetukset
GAME_RESIGN;Resign;Abandonner;Partie beenden;Zrezygnuj;Renunciar;Abbandona;Ge upp;Rezignovat;Feladás;Opgeven;Desistir;Сдаться;Luovuta
MESSAGE_SETTINGS;Message Settings;Paramètres des messages;Nachrichten-Einstellungen;Ustawienia wiadomości;Configuración de los mensajes;Impostazione dei messaggi;Meddelandeinställningar;Nastavení zpráv;Üzenetek beállításai;Bericht instellingen;Configurações de mensagens;Настройки сообщений;Viestiasetukset
CLOSE;Close;Fermer;Schließen;Zamknij;Cerrar;Chiudere;Stäng;Zavřít;Bezárás;Sluiten;Fechar;Закрыть;Sulje
