CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;CHINESE
HISTORICAL_START;Historical Start;Début historique;Historischer Beginn;Początek historyczny;Inicio histórico;Inizio storico;Historisk start;Historický začátek;Történelmi kezdet;Historische start;Início histórico;Историческое начало;Historiallinen alku;历史开始
SAVED_GAMES;Saved Games;Parties sauvegardées;Gespeicherte Spiele;Zapisane gry;Partidas guardadas;Partite salvate;Sparade spel;Uložené hry;Mentett játékok;Opgeslagen spellen;Jogos salvos;Сохраненные игры;Tallennetut pelit;存档游戏
INTRODUCTION;In the aftermath of World War II, 1946 marks the beginning of a new era, where the global landscape has been dramatically altered. The devastation of the conflict has given rise to two dominant superpowers the United States and the Soviet Union who now find themselves locked in an intense ideological standoff. This Cold War, characterized by the clash between capitalism and communism, entangles nations worldwide in a complex web of espionage, proxy conflicts, and delicate diplomacy. Every nation, regardless of its size, is drawn into this high-stakes geopolitical game, where each decision has the potential to change the course of history.;À la suite de la Seconde Guerre mondiale, 1946 marque le début d'une nouvelle ère, où le paysage mondial a été radicalement modifié. La dévastation du conflit a donné naissance à deux superpuissances dominantes – les États-Unis et l'Union soviétique – qui se retrouvent désormais engagées dans une intense confrontation idéologique. Cette guerre froide, caractérisée par l'affrontement entre le capitalisme et le communisme, entraîne les nations du monde entier dans un réseau complexe d'espionnage, de conflits par procuration et de diplomatie délicate. Chaque nation, quelle que soit sa taille, est entraînée dans ce jeu géopolitique risqué, où chaque décision a le potentiel de changer le cours de l'histoire.;Nach dem Zweiten Weltkrieg markiert das Jahr 1946 den Beginn einer neuen Ära, in der die globale Landschaft dramatisch verändert wurde. Die Zerstörung des Konflikts hat zwei dominante Supermächte hervorgebracht – die Vereinigten Staaten und die Sowjetunion –, die sich nun in einem intensiven ideologischen Konflikt befinden. Dieser Kalte Krieg, der durch den Zusammenprall von Kapitalismus und Kommunismus gekennzeichnet ist, verstrickt Nationen weltweit in ein komplexes Netzwerk aus Spionage, Stellvertreterkonflikten und heikler Diplomatie. Jede Nation, unabhängig von ihrer Größe, wird in dieses geopolitische Spiel mit hohen Einsätzen hineingezogen, bei dem jede Entscheidung das Potenzial hat, den Verlauf der Geschichte zu verändern.;Po zakończeniu II wojny światowej rok 1946 oznacza początek nowej ery, w której krajobraz globalny uległ drastycznej zmianie. Zniszczenie konfliktu dało początek dwóm dominującym supermocarstwom – Stanom Zjednoczonym i Związkowi Radzieckiemu – które teraz znajdują się w intensywnej konfrontacji ideologicznej. Ta zimna wojna, charakteryzująca się starciem między kapitalizmem a komunizmem, wciąga narody na całym świecie w skomplikowaną sieć szpiegostwa, konfliktów zastępczych i delikatnej dyplomacji. Każdy naród, niezależnie od jego wielkości, jest zaangażowany w tę wysoką stawkę grę geopolityczną, gdzie każda decyzja ma potencjał zmiany biegu historii.;Después de la Segunda Guerra Mundial, 1946 marca el inicio de una nueva era, en la que el panorama global ha cambiado dramáticamente. La devastación del conflicto ha dado lugar a dos superpotencias dominantes: los Estados Unidos y la Unión Soviética, que ahora se encuentran atrapados en un intenso enfrentamiento ideológico. Esta Guerra Fría, caracterizada por el choque entre el capitalismo y el comunismo, envuelve a las naciones de todo el mundo en una red compleja de espionaje, conflictos por poder delegado y delicada diplomacia. Cada nación, independientemente de su tamaño, está involucrada en este juego geopolítico de alto riesgo, donde cada decisión tiene el potencial de cambiar el curso de la historia.;Dopo la Seconda Guerra Mondiale, il 1946 segna l'inizio di una nuova era, in cui il panorama globale è cambiato drammaticamente. La devastazione del conflitto ha dato origine a due superpotenze dominanti: gli Stati Uniti e l'Unione Sovietica, che ora si trovano bloccati in un intenso confronto ideologico. Questa Guerra Fredda, caratterizzata dallo scontro tra capitalismo e comunismo, coinvolge le nazioni di tutto il mondo in una complessa rete di spionaggio, conflitti per procura e delicata diplomazia. Ogni nazione, indipendentemente dalle sue dimensioni, è coinvolta in questo gioco geopolitico ad alto rischio, dove ogni decisione ha il potenziale per cambiare il corso della storia.;Efter andra världskriget markerar 1946 början på en ny era, där det globala landskapet har förändrats dramatiskt. Förödelsen från konflikten har gett upphov till två dominerande supermakter – USA och Sovjetunionen – som nu befinner sig i en intensiv ideologisk konflikt. Det kalla kriget, som kännetecknas av kollisionen mellan kapitalism och kommunism, invecklar nationer världen över i ett komplext nätverk av spionage, ombudskonflikter och känslig diplomati. Varje nation, oavsett storlek, dras in i detta geopolitiska spel med höga insatser, där varje beslut har potentialen att förändra historiens gång.;Po druhé světové válce znamená rok 1946 začátek nové éry, kdy byla globální krajina dramaticky změněna. Zničení konfliktu přivedlo na scénu dvě dominantní supervelmoci – Spojené státy a Sovětský svaz – které se nyní nacházejí v intenzivním ideologickém střetu. Tato studená válka, charakterizovaná střetem mezi kapitalismem a komunismem, zaplétá národy po celém světě do složité sítě špionáže, zástupných konfliktů a jemné diplomacie. Každý národ, bez ohledu na svou velikost, je vtahován do této geopolitické hry s vysokými sázkami, kde každé rozhodnutí má potenciál změnit průběh historie.;A második világháború után 1946 jelenti egy új korszak kezdetét, amelyben a globális táj drámaian megváltozott. A konfliktus pusztítása két domináns szuperhatalmat teremtett – az Egyesült Államokat és a Szovjetuniót – akik most intenzív ideológiai összecsapásban találják magukat. Ez a hidegháború, amelyet a kapitalizmus és a kommunizmus közötti ütközet jellemez, belekeveri a nemzeteket világszerte egy bonyolult kémkedési, helyettesítő konfliktusok és finom diplomáciai hálóba. Minden nemzet, függetlenül annak méretétől, belekeveredik ebbe a magas kockázatú geopoliitikai játékba, ahol minden döntésnek lehetősége van megváltoztatni a történelem menetét.;Na afloop van de Tweede Wereldoorlog markeert 1946 het begin van een nieuw tijdperk, waarin het wereldwijde landschap dramatisch is veranderd. De verwoesting van het conflict heeft geleid tot twee dominante wereldmachten – de Verenigde Staten en de Sovjetunie – die nu verwikkeld zijn in een intense ideologische strijd. Deze Koude Oorlog, gekenmerkt door de botsing tussen kapitalisme en communisme, verstrikt naties wereldwijd in een complex netwerk van spionage, proxy-conflicten en delicate diplomatie. Elke natie, ongeacht haar grootte, wordt betrokken bij dit geopolitieke spel met hoge inzet, waar elke beslissing het potentieel heeft om de loop van de geschiedenis te veranderen.;Após a Segunda Guerra Mundial, 1946 marca o início de uma nova era, onde a paisagem global foi drasticamente alterada. A devastação do conflito deu origem a duas superpotências dominantes – os Estados Unidos e a União Soviética – que agora se encontram em um intenso confronto ideológico. Esta Guerra Fria, caracterizada pelo choque entre capitalismo e comunismo, envolve nações em todo o mundo em uma complexa rede de espionagem, conflitos por procuração e diplomacia delicada. Cada nação, independentemente do seu tamanho, é atraída para este jogo geopolítico de alto risco, onde cada decisão tem o potencial de mudar o curso da história.;После Второй мировой войны 1946 год ознаменовал начало новой эры, когда глобальный ландшафт был кардинально изменен. Разрушение конфликта породило две доминирующие супердержавы Соединенные Штаты и Советский Союз, которые теперь находятся в состоянии интенсивного идеологического противостояния. Холодная война, характеризующаяся столкновением капитализма и коммунизма, вовлекает нации по всему миру в сложную сеть шпионажа, конфликтов через прокси и тонкой дипломатии. Каждая нация, независимо от ее размера, вовлечена в эту геополитическую игру с высокими ставками, где каждое решение может изменить ход истории.;Toisen maailmansodan jälkimainingeissa vuosi 1946 merkitsee uuden aikakauden alkamista, jossa maailmanlaajuinen maisema on muuttunut dramaattisesti. Konfliktin tuho on synnyttänyt kaksi dominoivaa supervaltaa – Yhdysvallat ja Neuvostoliiton – jotka nyt ovat intensiivisessä ideologisessa konfliktissa. Tämä kylmä sota, joka on tunnusomaista kapitalismin ja kommunismin törmäykselle, kietoo kansakunnat ympäri maailmaa monimutkaiseen vakoilu-, välikäsi- ja herkkä diplomatia-verkostoon. Jokainen kansa, riippumatta sen koosta, vetäytyy tähän korkean panoksen geopoliittiseen peliin, jossa jokaisella päätöksellä on potentiaalia muuttaa historian kulkua.;二战后，1946年标志着一个新时代的开始，全球格局发生了剧变。战争的破坏催生了两大超级大国——美国和苏联，如今它们陷入了激烈的意识形态对峙。这场以资本主义与共产主义冲突为特征的冷战，使各国卷入错综复杂的间谍活动、代理冲突与微妙外交之中。无论国家大小，每个国家都被卷入这场高风险的地缘政治游戏，每个决定都有可能改变历史进程.
TITLE_SELECT_NATION;Cold War Begins, 1 January,1946;La Guerre froide commence, 1er janvier 1946;Kalter Krieg beginnt, 1. Januar 1946;Początek zimnej wojny, 1 stycznia 1946;Comienza la Guerra Fría, 1 de enero de 1946;Inizio della Guerra Fredda, 1 gennaio 1946;Kalla kriget börjar, 1 januari 1946;Začátek studené války, 1. ledna 1946;A hidegháború kezdete, 1946. január 1.;Begin Koude Oorlog, 1 januari 1946;Início da Guerra Fria, 1 de janeiro de 1946;Начало холодной войны, 1 января 1946 года;Kylmä sota alkaa, 1. tammikuuta 1946;冷战开始，1946年1月1日
NATION_TO_PLAY;Click on the map to select a nation...;Cliquez sur la carte pour sélectionner une nation...;Klicken Sie auf die Karte, um eine Nation auszuwählen...;Kliknij na mapę, aby wybrać naród...;Haz clic en el mapa para seleccionar una nación...;Clicca sulla mappa per selezionare una nazione...;Klicka på kartan för att välja en nation...;Klikněte na mapu pro výběr národa...;Kattintson a térképre egy nemzet kiválasztásához...;Klik op de kaart om een natie te selecteren...;Clique no mapa para selecionar uma nação...;Нажмите на карту, чтобы выбрать страну...;Napsauta karttaa valitaksesi kansakunnan...;点击地图选择一个国家...
PLAY;Play;Jouer;Spielen;Graj;Jugar;Gioca;Spela;Hrát;Játék;Spelen;Jogar;Играть;Pelaa;开始
BACK;Back;Retour;Zurück;Wróć;Volver;Indietro;Tillbaka;Zpět;Vissza;Terug;Voltar;Назад;Takaisin;返回
POPULATION;Population;Population;Bevölkerung;Populacja;Población;Popolazione;Befolkning;Populace;Népesség;Bevolking;População;Население;Väkiluku;人口
HEAD_OF_STATE;Head of State;Chef d'État;Staatsoberhaupt;Głowa państwa;Jefe de Estado;Capo di Stato;Statschef;Hlava státu;Államfő;Staatshoofd;Chefe de Estado;Глава государства;Valtionpäämies;国家元首
WARS;Wars;Guerres;Kriege;Wojny;Guerras;Guerre;Krig;Války;Háborúk;Oorlogen;Guerras;Войны;Sodat;战争
