CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;CHINESE
fascistic_idolg;Fascist;Fasciste;Faschist;Faszysta;Fascista;Fascista;Fascist;Fašista;Fasiszta;Fascist;Fascista;Фашист;Fasisti;法西斯
paternal_auto_idolg;Paternal Autocrat;Autocrate paternaliste;Väterlicher Alleinherrscher;Autokrata ojcowski;Autócrata paternalista;Autocrate paterno;Patriarkalisk autokrat;Patriarchální autokrat;Paternalista autokrata;Paternale autocraat;Autocrata paternal;Патерналистский автократ;Patriarkaalinen autokraatti;家长独裁者
social_cons_idolg;Social Conservative;Conservateur;Sozialkonservativer;Społeczny konserwatysta;Conservador social;Conservatore sociale;Socialkonservativ;Sociální konzervativec;Társadalmi konzervatív;Sociaal conservatief;Conservador social;Социальный консерватор;Sosiaalikonservatiivi;社会保守派
market_liberal_idolg;Market Liberal;Libéral;Marktliberaler;Liberał rynkowy;Liberal de mercado;Liberale di mercato;Marknadsliberal;Tržní liberál;Piaci liberális;Marktliberaal;Liberal de mercado;Рыночный либерал;Markkinaliberaali;市场自由派
social_liberal_idolg;Social Liberal;Social-libéral;Sozialliberaler;Społeczny liberał;Liberal social;Liberale sociale;Socialliberal;Sociální liberál;Társadalmi liberális;Sociaal liberaal;Liberal social;Социальный либерал;Sosiaaliliberaali;社会自由派
social_democrat_idolg;Social Democrat;Social-démocrate;Sozialdemokrat;Socjaldemokrata;Socialdemócrata;Socialdemocratico;Socialdemokrat;Sociální demokrat;Szociáldemokrata;Sociaaldemocraat;Social-democrata;Социал-демократ;Sosiaalidemokraatti;社会民主派
left_wing_radical_idolg;Left-Wing Radical;Marxiste;Linksradikaler;Lewicowy radykał;Izquierda radical;Radicale di sinistra;Vänsterradikal;Levicový radikál;Baloldali radikális;Links-radicaal;Radical de esquerda;Левый радикал;Vasemmistolainen radikaali;左翼激进派
maoist_idolg;Maoist;Maoiste;Maoistisch;Maoista;Maoísta;Maoista;Maoist;Maoista;Maoista;Maoïst;Maoísta;Маоист;Maoisti;毛派
communist_idolg;Communist;Communiste;Kommunistisch;Komunista;Comunista;Comunista;Kommunist;Komunista;Kommunista;Communist;Comunista;Коммунист;Kommunisti;共产主义者
extremist_type;Extremist;Extrémiste;Extremist;Ekstremista;Extremista;Estremista;Extremist;Extrémista;Szélsőséges;Extremist;Extremista;Экстремист;Ääriliikkeiden kannattaja;极端分子
